texto,etiqueta
"Me encantó la conferencia que dieron hoy",1
"Fue muy aburrido",0
"Excelente organización por parte de la universidad",1
"Los ponentes no sabían de lo que hablaban",0
"Gracias por compartir tanta información útil",1
"Muy mal planeado, llegamos y no había nada listo",0
"Qué buena dinámica con los estudiantes",1
"La atención del personal fue pésima",0
"Me parece muy interesante este tipo de actividades ¡Excelente!",1
"Perdí mi tiempo asistiendo",0
"Felicitaciones a los organizadores del evento",1
"Todo fue un caos",0
"Disfruté mucho la charla sobre emprendimiento Qué mal",1
"No había sillas suficientes y todo fue un desastre",0
"Gran trabajo por parte del comité estudiantil",1
"La música estaba demasiado fuerte y no se entendía nada ¡Excelente!",0
"Gracias por fomentar la participación estudiantil ¡Excelente!",1
"No hubo puntualidad en ninguna de las actividades",0
"Me pareció muy enriquecedor el foro",1
"No hubo espacio suficiente para todos",0
"El evento fue una experiencia inolvidable",1
"Todo fue un desorden total Qué mal",0
"Muchas gracias por la invitación, excelente todo",1
"La logística fue un fracaso",0
"Me encantó participar en los talleres",1
"Hubo muchos problemas técnicos",0
"Los temas tratados fueron muy relevantes",1
"Nadie nos orientó sobre a dónde ir",0
"La presentación de los alumnos estuvo muy bien ¡Qué bien!",1
"Los organizadores nunca aparecieron ¡Excelente!",0
"Una experiencia muy gratificante",1
"Ninguna autoridad estuvo presente",0
"Aprendí cosas nuevas",1
"Las actividades se retrasaron más de una hora",0
"Una jornada muy enriquecedora para todos ¡Qué bien!",1
"Fue muy difícil encontrar el lugar",0
"Espero que sigan haciendo este tipo de eventos",1
"Faltó información en redes sobre el programa",0
"Me motivó mucho la historia del ponente ¡Excelente!",1
"El sonido estaba fatal y no se entendía nada",0
"Una iniciativa muy positiva para la comunidad estudiantil",1
"Hubo mala señal de internet durante toda la actividad",0
"Los temas fueron tratados de forma clara y amena ¡Excelente!",1
"No hubo refrigerios ni agua para los asistentes",0
"Actividades como estas mejoran la calidad educativa Gracias",1
"La entrada fue desorganizada y tardada",0
"Las exposiciones estuvieron excelentes ¡Qué bien!",1
"Las salas eran muy pequeñas para tanta gente",0
"Gracias por un evento tan inspirador Gracias",1
"La transmisión en vivo nunca funcionó",0
"Me encantó la conferencia que dieron hoy",1
"No me gustó el evento",0
"Excelente organización por parte de la universidad Gracias",1
"Los ponentes no sabían de lo que hablaban Qué mal",0
"Gracias por compartir tanta información útil",1
"Muy mal planeado llegamos y no había nada listo",0
"Qué buena dinámica con los estudiantes",1
"La atención del personal fue pésima",0
"Me parece muy interesante este tipo de actividades",1
"Perdí mi tiempo asistiendo",0
"Felicitaciones a los organizadores del evento",1
"No tenían control en la entrada, todo fue un caos",0
"Disfruté mucho la charla sobre emprendimiento ¡Qué bien!",1
"No había sillas suficientes y todo fue un desastre",0
"Gran trabajo por parte del comité estudiantil ¡Excelente!",1
"La música estaba demasiado fuerte y no se entendía nada",0
"Gracias por fomentar la participación estudiantil",1
"No hubo puntualidad en ninguna de las actividades",0
"Me pareció muy enriquecedor el foro",1
"No hubo espacio suficiente para todos",0
"El evento fue una experiencia inolvidable ¡Excelente!",1
"Todo fue un desorden total",0
"Muchas gracias por la invitación excelente todo Gracias",1
"La logística fue un fracaso",0
"Me encantó participar en los talleres",1
"Hubo muchos problemas técnicos",0
"Los temas tratados fueron muy relevantes ¡Qué bien!",1
"Nadie nos orientó sobre a dónde ir",0
"La presentación de los alumnos estuvo muy bien",1
"Los organizadores nunca aparecieron",0
"Una experiencia muy gratificante",1
"Ninguna autoridad estuvo presente Qué mal",0
"Aprendí cosas nuevas, gracias por la oportunidad",1
"Las actividades se retrasaron más de una hora",0
"Una jornada muy enriquecedora para todos ¡Qué bien!",1
"Fue muy difícil encontrar el lugar",0
"Espero que sigan haciendo este tipo de eventos ¡Excelente!",1
"Faltó información en redes sobre el programa Qué mal",0
"Me motivó mucho la historia del ponente",1
"El sonido estaba fatal y no se entendía nada",0
"Una iniciativa muy positiva para la comunidad estudiantil Gracias",1
"Hubo mala señal de internet durante toda la actividad",0
"Los temas fueron tratados de forma clara y amena",1
"No hubo atención para los invitados",0
"Actividades como estas mejoran la calidad educativa",1
"La entrada fue desorganizada y tardada",0
"Las exposiciones estuvieron excelentes",1
"Las salas eran muy pequeñas para tanta gente",0
"Gracias por un evento tan inspirador",1
"La transmisión en vivo nunca funcionó",0
"Me encantó la conferencia que dieron hoy",1
"No me gustó el evento fue muy aburrido",0
"Excelente organización por parte de la universidad ¡Qué bien!",1
"Los ponentes no sabían de lo que hablaban",0
"Gracias por compartir tanta información útil ¡Excelente!",1
"Muy mal planeado llegamos y no había nada listo",0
"En horabuena felicidades",1
"La atención del personal fue pésima",0
"Me parece muy interesante este tipo de actividades",1
"Perdí mi tiempo asistiendo Qué mal",0
"Felicitaciones a los organizadores del evento",1
"No tenían control en la entrada todo fue un caos",0
"Disfruté mucho la charla sobre ideas y comunicación",1
"Nadie dio la bienvenida a los invitados estuvo pésimo",0
"Gran trabajo por parte del comité estudiantil ¡Excelente!",1
"Se escuchaba muy mal el micrófono",0
"Gracias por tener la iniciativa",1
"No hubo puntualidad en ninguna de las actividades",0
"Me pareció muy enriquecedor el foro ¡Qué bien!",1
"No hubo espacio suficiente para todos",0
"El evento fue una experiencia inolvidable",1
"Todo fue un desorden total Qué mal",0
"Muchas gracias por la invitación excelente todo"",1
"La logística fue un fracaso",0
"Me encantó participar en los talleres",1
"Hubo muchos problemas técnicos",0
"Los temas tratados fueron muy relevantes",1
"Nadie nos orientó sobre a dónde ir",0
"La presentación de los alumnos estuvo muy bien",1
"Los organizadores nunca aparecieron",0
"Una experiencia muy gratificante ¡Qué bien!",1
"Ninguna autoridad estuvo presente Qué mal",0
"Aprendí cosas nuevas gracias por la oportunidad",1
"Las actividades se retrasaron más de una hora",0
"Una jornada muy enriquecedora para todos ¡Qué bien!",1
"Fue muy difícil encontrar el lugar",0
"Espero que sigan haciendo este tipo de eventos ¡Qué bien!",1
"Faltó información en redes sobre el programa Qué mal",0
"Mucha motivación para lo oyentes",1
"El sonido estaba fatal y no se entendía nada",0
"Una iniciativa muy positiva para la comunidad estudiantil",1
"No hubo buena comunicación durante toda la actividad",0
"Los temas fueron tratados de forma clara y amena Gracias",1
"No hubo ninguna atención para los asistentes",0
"Actividades como estas mejoran la calidad educativa",1
"La entrada fue desorganizada y tardada",0
"Las exposiciones estuvieron excelentes",1
"Muy mal todo",0
"Gracias por un evento tan inspirador",1
"No entendí nungún tema expuesto",0
"Me encantó la actividad de hoy",1
"Mala actitud",0
"Excelente organización por parte de la universidad",1
"Inexpertos en los temas",0
"Gracias por compartir tanta información útil ¡Excelente!",1
"Sin diversión",0
"Qué buena oportunidad para los estudiantes",1
"Nada que ver",0
"Interesante me gustó",1
"Mala organizacion y mal ambiente",0
"Felicitaciones a los organizadores del evento",1
"Horrible mi experiencia",0
"Disfruté mucho la charla",1
"Falta de interés",0
"Gran trabajo aplausos",1
"No se entendía nada",0
"Muy bien todo gracias",1
"No hubo puntualidad",0
"Muy bien", 1
"No hubo nada interesante",0
"El evento fue muy bueno",1
"Desorden total",0
"Muchas gracias por la invitación, excelente todo ¡Qué bien!",1
"Cero coordinación",0
"Me encantó",1
"Hubo muchos problemas técnicos",0
"Los temas tratados fueron muy relevantes",1
"Nadie nos orientó",0
"Los organizadores fueron muy atentos gracias",1
"No hubo puntualidad",0
"Felicidades a los muchachos y muchachas",1
"Ninguna autoridad estuvo presente",0
"Éxito en esta etapa jóvenes",1
"Las actividades se retrasaron",0
"Muy buena actividad",1
"Fue muy difícil encontrar el lugar",0
"Espero que sigan haciendo este tipo de eventos",1
"Muy poca información",0
"Me motivó",1
"Falta de interés en los temas",0
"Una iniciativa muy positiva",1
"Mal",0
"¿Información? Me interesa",1
"Mala experiencia",0
"Mejoran la calidad educativa en esta zona",1
"Mala exposición",0
"Aplausos",1
"No contestan los mensajes",0
"Gracias por un evento tan inspirador",1
"Sin respuesta",0
"Me encantó la conferencia que dieron hoy",1
"No me gustó",0
"Excelente organización",1
"Tardan mucho en responder y dar información",0
"Gracias por compartir tanta información útil ¡Qué bien!",1
"Mal servicio",0
"Excelentes oportunidades para los jóvenes",1
"La atención del personal fue de muy mal gusto",0
"Interesante",1
"Nada bueno",0
"Felicitaciones",1
"No tenían control",0
"Disfruté mucho",1
"No había sillas suficientes",0
"Me interesa",1
"Cero profesionalisto en el personal",0
"Muy profesionales excelente",1
"Ninguna actividad relevante",0
"Excelentes profesores y sus conocimientos",1
"No hubo respuesta a mis preguntas",0
"Programa de estudios bien estructurado",1
"No tienen un control",0
"Muchas gracias por la invitación",1
"No me invitaron",0
"Buen ambiente para alumnos, profesores e invitados",1
"Problemas técnicos",0
"Los temas tratados fueron muy relevantes",1
"Nada de ineterés para los jóvenes",0
"Muy buena presentación de las instalaciones",1
"Instalaciones feas",0
"Una experiencia buena Gracias",1
"Malos comentarios",0
"Materias y  profesores actualizadas",1
"Actividades malas",0
"Docentes accesibles y dispuestos",1
"Fue muy difícil encontrar información",0
"¡Excelente!",1
"Sin compromiso en redes sociales",0
"Inspirador",1
"Mal sonido y mala platica",0
"Los docentes son muy profesionales y accesibles",1
"Los horarios cambian constantemente sin previo aviso",0
"Las clases son dinámicas y muy bien explicadas",1
"No hay suficientes lugares en las materias más demandadas",0
"La universidad tiene un gran enfoque en la investigación",1
"Los trámites administrativos son muy lentos",0
"Las actividades extracurriculares son muy enriquecedoras",1
"La atención en ventanilla es pésima",0
"Me ayudaron mucho con mi proceso de titulación",1
"Las computadoras de los laboratorios no sirven bien",0
"El campus es amplio y muy bonito",1
"No hay suficientes actividades culturales",0
"Siempre hay apoyo académico disponible",1
"Los maestros llegan tarde a clase muy seguido",0
"Las conferencias y talleres son de gran calidad",1
"Falta mantenimiento en los baños del campus",0
"Hay muchas oportunidades de intercambio académico",1
"Nunca hay respuesta clara sobre becas",0
"Los programas de estudio están actualizados",1
"Las plataformas en línea se caen en épocas de exámenes",0
"La biblioteca cuenta con muchos recursos digitales",1
"El transporte universitario no es puntual",0
"Las instalaciones deportivas son excelentes",1
"No hay suficientes tutores académicos",0
"Me siento muy motivado a seguir estudiando aquí",1
"Los grupos son muy grandes y no se puede participar",0
"El ambiente entre compañeros es muy sano",1
"Falta comunicación entre maestros y alumnos",0
"Los administrativos siempre te apoyan con tus dudas",1
"La cafetería es cara y no tiene variedad",0
"Las carreras ofrecen buena proyección laboral",1
"No hay suficientes salones para todas las materias",0
"Cuentan con convenios con muchas empresas",1
"Los eventos se cancelan sin explicación",0
"Los procesos internos están bien organizados",1
"Falta iluminación en las áreas comunes",0
"Los servicios médicos universitarios son muy buenos",1
"La universidad no escucha las quejas de los estudiantes",0
"Tienen programas para impulsar el emprendimiento",1
"Hay muy pocas oportunidades de prácticas profesionales",0
"La plataforma digital es intuitiva y estable",1
"Los procesos de evaluación no son claros",0
"Recibí­ mucho apoyo durante mi servicio social",1
"La señal de internet es muy débil",0
"La universidad fomenta la participación estudiantil",1
"No hay espacios suficientes para descansar",0
"Las evaluaciones son justas y objetivas",1
"No informan bien sobre los requisitos de titulación",0
"Siempre me sentí­ respaldado por mis asesores",1
"La seguridad dentro del campus es insuficiente",0
"Fomentan el respeto y la inclusión",1
"Hay profesores que no dominan bien su materia",0
"Los laboratorios son modernos y funcionales",1
"La carga académica es mal distribuida",0
"Las clases prácticas están bien diseñadas",1
"El plan de estudios no está bien estructurado",0
"La universidad promueve el liderazgo estudiantil",1
"La universidad no apoya lo suficiente a los alumnos",0
"Es un lugar ideal para crecer profesionalmente",1
"Hay mucha burocracia para todo",0
"El sistema de becas es muy justo",1
"Los coordinadores de carrera no dan seguimiento adecuado",0
"Los contenidos de los cursos son muy completos",1
"El sistema de becas es injusto",0
"Cuentan con buenos programas de posgrado",1
"Pocas oportunidades de desarrollo personal",0
"La atención al estudiante es excelente",1
"Las aulas están mal equipadas",0
"Se organizan eventos académicos muy interesantes",1
"Faltan recursos bibliográficos importantes",0
"Siempre hay alguien dispuesto a ayudarte",1
"El proceso de reinscripción es confuso",0
"El proceso de inscripción fue muy fácil",1
"No hay buena comunicación institucional",0
"Tienen un buen sistema de seguimiento académico",1
"Algunos docentes no entregan calificaciones a tiempo",0
"Los docentes están muy bien preparados",1
"No hay incentivos para el buen desempeño",0
"Las instalaciones tecnológicas son de última generación",1
"La calidad de enseñanza varí­a mucho",0
"La universidad tiene una gran reputación",1
"No hay claridad en los calendarios escolares",0
"Me siento orgulloso de estudiar aquí",1
"Las prácticas de laboratorio no están bien guiadas",0
"Hay una gran oferta de cursos optativos",1
"Faltan oportunidades de movilidad internacional",0
"Se promueve mucho la innovación",1
"Las decisiones importantes no se consultan con los alumnos",0
"Siempre me sentí­ valorado como estudiante",1
"La atención psicológica es insuficiente",0
"La universidad se adapta bien a los cambios",1
"No hay opciones de comida saludable en el campus",0
"Me dieron las herramientas para crecer profesionalmente",1
"La universidad no promueve la inclusión adecuadamente",0
"Fomentan la ética y el compromiso social",1
"Las instalaciones están deterioradas",0
"El ambiente académico es de excelencia",1
"Los estudiantes no tienen representación real",0
"Muy profesionales",1
"Mal",0
"Muy bien",1
"No me concentré",0
"Resultado bueno",1
"Hace falta comunicación e interés por parte de los estudiantes",0
"Mucha suerte a todos",1
"No hace falta decir que perdí mi dinero",0
"Excelente inversión",1
"No me gustó la universidad en general",0
"Quedé muy impresionado al escuchar tantos jóvenes inteligentes",1
"No es de buena calidad ni enseñanza",0
"Muy recomendable para cualquiera",1
"¡Les aconsejo a todos que no se dejen engañar!",0
"¡Hasta ahora, todo bien!",1
"No es lo que yo esperaba",0
"Me encanta la dedicación de los profesores siempre están dispuestos a ayudar",1
"Las clases siempre empiezan tarde y nunca respetan el horario",0
"Las instalaciones del laboratorio están bien equipadas y actualizadas",1
"Los baños casi siempre están sucios y sin papel higiénico",0
"El ambiente en la universidad es muy amigable y motivador",1
"Hay demasiada burocracia para realizar trámites simples",0
"Me gusta que haya tantas actividades extracurriculares",1
"Nunca hay suficientes sillas en el aula siempre tengo que buscar una",0
"La biblioteca está muy bien organizada y tiene libros actualizados",1
"Es imposible encontrar estacionamiento siempre está lleno",0
"La cafetería tiene buenas opciones saludables y económicas",1
"El internet de la universidad es muy lento e inestable",0
"Me gusta cómo explican los temas en clase se entienden bien",1
"Los profesores no responden los correos ni resuelven dudas",0
"Me siento apoyado por mis compañeros y tutores",1
"No hay suficiente iluminación en los pasillos por la noche",0
"El sistema en línea para consultar calificaciones funciona perfecto",1
"La universidad no toma en serio las quejas de los estudiantes",0
"Estoy aprendiendo mucho en mis materias este semestre",1
"Los profesores cambian las fechas de entrega sin avisar",0
"Me gusta que promuevan la investigación desde temprano",1
"Muchas materias son pura teoría y no hay práctica",0
"El campus es bonito y se mantiene limpio",1
"Las computadoras de la sala están obsoletas y no funcionan bien",0
"Me dieron beca por mi promedio eso me motivó mucho",1
"Hay favoritismo entre los maestros y algunos alumnos",0
"El personal administrativo es muy amable y eficiente",1
"Las clases en línea fueron un desastre, nada se entendía",0
"Los proyectos finales me ayudaron a aplicar lo aprendido",1
"Casi no hay oportunidades de prácticas profesionales",0
"Las conferencias que organizan son muy interesantes",1
"Hay profesores que no saben usar bien la tecnología",0
"Me gusta que hay tutorías gratuitas para las materias difíciles",1
"No hay suficientes salones disponibles para todas las clases",0
"La universidad apoya mucho el emprendimiento estudiantil",1
"Se cancelan muchas clases sin razón aparente",0
"Me motivan a seguir estudiando",1
"A veces parece que la universidad solo quiere cobrar",0
"Me encanta la diversidad de carreras que ofrecen",1
"Los horarios de clases están mal organizados",0
"Me siento parte de una comunidad en esta universidad", 1
"No se respetan los protocolos de seguridad en laboratorios",0
"Estoy feliz con el crecimiento personal que he tenido aquí",1
"Las clases son aburridas y no motivan para aprender",0
"Los docentes tienen mucha experiencia y se nota",1
"Hay materias que se repiten con diferente nombre",0
"Los programas de intercambio estudiantil son excelentes",1
"No hay apoyo psicológico real solo lo anuncian",0
"La universidad impulsa proyectos ecológicos y sostenibles",1
"La comunicación institucional es muy deficiente y lenta",0